Year,Manufacturer,Model,Stock #,VIN,Condition,Category,Type,Color,Engine Size,Odometer,Odometer Unit,Price ($),MSRP ($),On Sale,Savings ($),Has Promotion,Stock Status,URL
2021,Benelli,Leoncino Trail,2066A,LBBPHF061MBC22066,Used,Motorcycles,Scrambler,Red,499.6 cc,"1,489",MILES,0,"$6,499.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/ab943c56-60d5-45b8-a787-b429010dc8f1
2024,Beta,450 RX,0501,ZD3E7M483R0450501,Used,Motorcycles,Motocross,Red,449.3 cc,2,MILES,0,"$10,999.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/3a7e7d83-db7f-4d96-b6dc-b45101786e10
2026,CFMOTO,CForce 1000 Touring,0610,LCELV1ZS9TT000610,New,ATVs,CForce,Granite Ridge,963 cc,2,MILES,"$9,999.00","$10,499.00",Yes,$500.00,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/d1d6d897-b91d-4354-be97-b3b700ff365a
2026,CFMOTO,CForce 800 Touring,0840,LCELVYZS3TT000840,New,ATVs,CForce,Granite Ridge,800 cc,2,MILES,"$8,999.00","$9,499.00",Yes,$500.00,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/771e60e6-b180-44e8-b272-b3b700ff4848
2026,CFMOTO,CForce 400,1150,LCELDSZW1TT001150,New,ATVs,CForce,Jet Black,400 cc,2,MILES,"$4,999.00","$4,999.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/c8b31f88-79b9-411d-a5ab-b43d0175de6f
2026,CFMOTO,CForce 800 Touring,2962,LCELVYZS7T6002962,New,ATVs,CForce,Nebula Black,800 cc,2,MILES,"$8,999.00","$9,499.00",Yes,$500.00,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/8279a5df-f0b4-4932-8991-b42b011178bf
2026,CFMOTO,CForce 600 Touring,0411,LCELDUZM6TT000411,New,ATVs,CForce,Nebula Black,580 cc,2,MILES,"$8,799.00","$8,799.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/297d2922-81ff-484e-a8e3-b3b101733a4a
2026,CFMOTO,CForce 600 Touring,0536,LCELDUZM4TT000536,New,ATVs,CForce,TrueTimber Kanati,580 cc,2,MILES,"$9,149.00","$9,149.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/44b67d73-8fc0-45b6-a178-b3b700ff26fd
2026,CFMOTO,CForce 600,0923,LCELDUZL3T6000923,New,ATVs,CForce,TrueTimber Kanati,580 cc,2,MILES,"$8,149.00","$8,149.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/449c1874-078a-486a-96fb-b3ff014381a8
2026,CFMOTO,Ibex 800 E,0966,LCEPEYLH7T6000966,New,Motorcycles,Adventure,Gem Black,799 cc,2,MILES,"$9,924.00","$10,299.00",Yes,$375.00,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/407365fc-61f9-400b-9ee2-b412013f25ee
2026,CFMOTO,Ibex 800 E,9344,LCEPEYLH7T6009344,New,Motorcycles,Adventure,Starry White,799 cc,2,MILES,"$10,299.00","$10,299.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/df0513a5-cd35-4727-ba73-b43e010aad62
2026,CFMOTO,450CL-C,0720,LCEPESLF3T6000720,New,Motorcycles,CL,Teal Green,449 cc,2,MILES,"$5,799.00","$5,799.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/ad1b25b3-9b26-49b9-acb5-b43d0175de8a
2026,CFMOTO,675NK,1272,LCEPEVLR2T6001272,New,Motorcycles,Naked,Glacier White,675 cc,2,MILES,"$7,499.00","$7,499.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/bd014794-0980-411a-a2d9-b412013f25d5
2026,CFMOTO,675NK,0720A,LCEPEVLR9T6000720,New,Motorcycles,Naked,Tundra Grey,675 cc,2,MILES,"$7,499.00","$7,499.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/6d39e6b8-b8c3-4a86-89e7-b44b015f53cc
2026,CFMOTO,675SS,6043,LCEPEVLP3T6006043,New,Motorcycles,Sport,Nebula Black,675 cc,2,MILES,"$7,624.00","$7,999.00",Yes,$375.00,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/cb2b672c-a135-49a9-81e2-b412013f259c
2026,CFMOTO,675SS,6114,LCEPEVLP0T6006114,New,Motorcycles,Sport,Nebula Black,675 cc,2,MILES,"$7,624.00","$7,999.00",Yes,$375.00,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/b5d14729-cfdc-4e33-8d86-b40301415863
2026,CFMOTO,450SS,1228,LCEPESLP3T6001228,New,Motorcycles,Sport,Nebula Black,449 cc,2,MILES,"$5,199.00","$5,699.00",Yes,$500.00,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/7423755f-ea06-484e-8c47-b403014157ef
2026,CFMOTO,UFORCE U10 Pro,1914,LCELE1ZAXTM001914,New,Utility Vehicles,UForce,Bordeaux Red,998 cc,2,MILES,"$17,499.00","$17,499.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/67d64913-d876-4dd6-b2b6-b43d0175de56
2026,CFMOTO,UForce 600,1398,LCEPESLP6T6001398,New,Utility Vehicles,UForce,Desert Tan,580 cc,2,MILES,"$10,999.00","$10,999.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/cea1d5d0-03d8-4c32-92b4-b3b6013ec813
2026,CFMOTO,UForce 800 XL,1192,LCELVYZUXT6001192,New,Utility Vehicles,UForce,Desert Tan,800 cc,2,MILES,"$13,499.00","$13,499.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/53924881-e08d-4016-90f5-b4260112a359
2026,CFMOTO,UForce 800 XL,2879,LCELVYZU7T6002879,New,Utility Vehicles,UForce,Desert Tan,800 cc,2,MILES,"$13,949.00","$13,499.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/3b723533-6663-4679-afe9-b42d01650f56
2026,CFMOTO,UForce 1000,0474A,LCELV1Z22TM000474,New,Utility Vehicles,UForce,Nebula Black,963 cc,2,MILES,"$13,999.00","$13,999.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/b52acc54-3253-4e67-be26-b42b01117951
2026,CFMOTO,UForce 1000,0920,LCELV1Z24T6000920,New,Utility Vehicles,UForce,Nebula Black,963 cc,2,MILES,"$13,999.00","$13,999.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/797c8032-b08a-49bb-8c08-b3a7014122d0
2026,CFMOTO,UForce 1000,1322,LCELV1Z20T6001322,New,Utility Vehicles,UForce,TrueTimber Kanati,963 cc,2,MILES,"$14,449.00","$14,449.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/6de62f41-123c-44b5-b8f2-b3b700ff1e47
2026,CFMOTO,UForce 600,2312,LCELDUZ90T6002312,New,Utility Vehicles,UForce,TrueTimber Kanati,580 cc,2,MILES,"$10,999.00","$11,449.00",Yes,$450.00,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/cea1d5d0-03d8-4c32-92b4-b3b6013ec813
2026,CFMOTO,UForce 1000,0641,lcelv1z20t6000641,New,Utility Vehicles,UForce,Twilight Blue,963 cc,2,MILES,"$13,999.00","$13,999.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/2b5136de-615a-4230-b427-b38b016e282f
2026,CFMOTO,UForce 1000,1665,LCELV1Z28T6001665,New,Utility Vehicles,UForce,Twilight Blue,963 cc,2,MILES,"$13,999.00","$13,999.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/162e5910-9f62-4c32-909d-b3a70141221c
2026,CFMOTO,ZForce 950 Sport,0336,LCELV1ZK1TM000336,New,Utility Vehicles,ZForce,Granite Ridge,963 cc,2,MILES,"$15,999.00","$15,999.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/7804eb8e-4116-4b76-b64e-b42d01651935
2026,CFMOTO,ZForce 800 Trail,0197,LCELVYZP1T6000197,New,Utility Vehicles,ZForce,Magma Red,800 cc,2,MILES,"$13,999.00","$13,999.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/1d67f832-8c43-4584-a7a0-b39901722663
2026,CFMOTO,ZForce 950 Trail,0119,LCELV1ZH9TM000119,New,Utility Vehicles,ZForce,Nebula Black,963 cc,2,MILES,"$14,999.00","$14,999.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/14999-placeholder
2025,CFMOTO,300NK,1258,LCEPDPL19S6001258,New,Motorcycles,Naked,Magma Red,292 cc,2,MILES,"$3,599.00","$4,199.00",Yes,$600.00,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/94418ff2-f45a-4697-8afa-b2a4012ac916
2025,CFMOTO,UFORCE U10 XL Pro,1640,LCELE1ZG0S6001640,New,Utility Vehicles,UForce-Series,Nebula Black,998 cc,2,MILES,"$23,902.00","$18,999.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/a8743769-0945-45ba-b764-b28b016d650e
0,CFMOTO,i45E Electric Start Inverter Generator,091T,145E-D2E0091T,New,Generators,Generators,Grey,,0,MILES,"$1,499.99","$1,599.99",Yes,$100.00,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/4dd7da64-7435-42d9-9e61-b15600ff4609
0,CFMOTO,i45E Electric Start Inverter Generator,138T,145E-D2E0138T,New,Generators,Generators,Grey,,0,MILES,"$1,499.99","$1,599.99",Yes,$100.00,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/1bf3dc44-949f-4b42-831e-b15600ff5461
2026,Ducati,DesertX,2437,ZDMXANDT6TB012437,New,Motorcycles,DesertX,Star White Silk,937 cc,2,MILES,"$18,995.00","$18,995.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/ducati-desertx-2437
2026,Ducati,DesertX,2364,ZDMXANDT5TB012364,New,Motorcycles,DesertX,Star White Silk,937 cc,2,MILES,"$18,995.00","$18,995.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/1dd1c253-9d2b-4892-8b70-b42b013fe822
2026,Ducati,Desmo450 MX,0548,ZDMRDWCK1TB000548,New,Motorcycles,Desmo450-MX,Ducati Red,449.6 cc,0,MILES,"$11,495.00","$11,495.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/dc9f8021-f56d-4f79-a687-b36a01704d3f
2026,Ducati,Desmo450 MX,2740,ZDMRDWCK3TB002740,New,Motorcycles,Desmo450-MX,Ducati Red,449.6 cc,2,MILES,"$13,995.00","$11,495.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/4b1d6861-aa2f-4263-b1bb-b4100145fccb
2026,Ducati,Desmo450 EDX,1969,ZDMRFWCK5TB001969,New,Motorcycles,Desmo450-MX,Ducati Red,449.6 cc (27.4 ci),2,MILES,"$12,495.00","$12,495.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/064df1ee-7f45-452e-bcc9-b4030141588f
2026,Ducati,Diavel V4,6284,ZDMGAR1W2TB006284,New,Motorcycles,Diavel,Black Roadster Livery,"1,158 cc (71 ci)",2,MILES,"$28,995.00","$28,995.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/ducati-diavel-6284
2026,Ducati,Diavel V4,6332,ZDMGAR1W9TB006332,New,Motorcycles,Diavel,Ducati Red,"1,158 cc (71 ci)",2,MILES,"$27,995.00","$27,995.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/903d202e-75cc-4773-8d85-b43e010aadcf
2026,Ducati,Hypermotard 698 Mono,4736,ZDMBAS2N2TB004736,New,Motorcycles,Hypermotard,Ducati Red,659 cc,2,MILES,"$13,995.00","$13,995.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/d804e858-23ef-4287-a273-b3a9016dc637
2026,Ducati,Hypermotard 698 Mono RVE,4920,ZDMBAS2N6TB004920,New,Motorcycles,Hypermotard,Graffiti,659 cc,2,MILES,"$15,495.00","$15,495.00",No,0,No,INSTOCK,https://www.cyclewisevt.com/dx1inventory/c643d046-fe25-41cc-aadf-b443010ad5e9
